Tweet Text,# number,Medical relevance,X,Does X cause cancer 
@livingstonfan @KURT_bball Get used to a Trump 2020 landslide...sweetie! You Libs and your  “flavor of the month” stance...now it’s white extinction anxiety! What’s next? Let’s get rid of the Sun b/c it can cause cancer! Guess what? Liberals are the cancer...and now...more people are seeing it too! ~ #MAGA https://t.co/Jcado7nUR7,1,,,
"@showhyung @monstaIker DJFIODJOFI thats valid !! u should look into it sometime, its kinda fun. fx my sun is cancer (which is ruled by the moon), but my moon sign is leo (which is ruled by the sun). which is just ironic, and can possible cause me to have a mixed. energy? ig. of both the fem n masc",1,,,
"Vegas News: Netflix documentary of someone admitting to knowing who shot Tupac. But won't name them because of "" Street Code "". Like 👀 you already broke code. Said he talking now cause he got cancer and nothing to lose",1,,,
Radon is a colorless and odorless gas that is known to cause lung cancer.  #LicensedHomeInspector #GeneralHomeInspection #StructuralInspection #MainLineSewerScope #MoldTesting #RadonTesting #AsbestosTesting #RoofInspection #Vancouver98685 https://t.co/7HCO7Vzx73 RT https://t.co/EfhzCl9jyq Radon is a colorless and odorless gas that is known to cause lung cancer. #LicensedHomeInspector #GeneralHomeInspection #StructuralInspection #MainLineSewerScope #Mol… https://t.co/5Xm9i0GaOG,1,,,
25 of the top foods and herbs which kill the cancer stem cells at the root cause of cancerhttp://kud.nu/e4e4,1,,,
I don’t know if it’s cause TOM will be coming or cause it’s cancer season or what. But everything just feel freaking heightened around me and it’s irritating the heck out of me because I’m trying to not panic but I’m also freaking tired and exhausted.,1,,,
Comparison of Erector Spinae Plane Block With Serratus Anterior Plane Block for Breast Surgery: Breast cancer is by far the world's most common cancer among women and the most common cause of female death from cancer worldwide. It's worldwide incidence… https://t.co/K5ybrKAQJ4,1,,,
"@Rooftopvegplot @timspector Exactly Wendy. Weight loss is the key to improving overall health, and it's the number 2  cause of cancer  https://t.co/GNlZzXknaU",1,,,
"Tomorrow we are doing the race for life for cancer research. This is a cause very close to our hearts. Any donations, how ever small, are very welcome. If you would like to donate, just click on the link. Let’s all try and kick cancer’s butt. Thank you.  https://t.co/93OKXp66zT",1,,,
i have a theory : cancer are the best liars cause yall think we’re cute and too caring to actually be bad people but guess what : we’re manipulative bad bitches too https://t.co/PxoXD5ITOW,1,,,
Fell asleep crunching numbers surrounded by paper and pens... guess I fell asleep on top of my pen cause I have a huge ink spot on my chest now 😭 I thought I had cancer or something,1,,,
This is really great! Let’s support @stewartkels7 and @USASoftball as they raise money to fight #pediatriccancer. Let’s #bestrong for our #courageous young #heroes. #Joshua19. https://t.co/DF9NTEJJat This cause is near and dear to my heart! Make sure you bid on my jersey and the rest of @USASoftball jerseys to help fight pediatric Cancer!🌻💛💛.                             Link to bid   https://t.co/9Nqjr6KqY1 https://t.co/2xxKCENdhG,1,,,
"@HaleyMancini If people want to be obtuse and use cannabis, I don't care.  It smells awful and will be found to cause cancer someday but hey, not my lungs. They should also know that they are contributing $ to the cartels that kill people in Mexico and creating refugees from the violence.",1,,,
will y’all stop (falsely) calling out cancers for being emotional???? lmao idgi im a cold ass bitch and so are 99% of cancers i know so jus fuckin stop https://t.co/kcwiBeFZyD aries: impulsive hoe taurus: hardheaded hoe gemini: distracted hoe cancer: crybaby hoe leo: attention hoe virgo: helpful hoe libra: ppl pleasing hoe scorpio: hoe hoe sag: wise but stupid hoe cap: wud sell u to satan for a cornchip hoe aqua: rebel w/o cause hoe pisces:escapist hoe,1,,,
"Cancer season is like 4-5 days away and my whole TL is already feeling it and they don’t even know it, meanwhile I’m chilling cause I always feel like this anyways #cancerrisings",1,,,
"Yah, cause his dad can be a prick.  You know before Jesus came along, his dad used to drown sinnin’ motherfuckers????  (I think he gives kids cancer too.)  #StillAtIt https://t.co/P5U7N583tn",1,,,
"RT LAFC ""No plans on Sunday?  Help #LAFC support an amazing cause and empower kids fighting cancer.  Join Tymiller01, JordanCHarvey, Sbeita33, and thewalkerzim for a #WorldCup Watch Party, VIP brunch, and beach soccer.  Proceeds benefit AustenEverett… https://t.co/G3zky7CIKr""",1,,,
@edmundmcmillen Everyone please visit this page from the American Cancer Society which lists known and probable human carcinogens:  https://t.co/Rf5ooz7sZs  Everyone knows tobacco but there are many on that list you probably don't realize have been proven beyond reasonable doubt to cause cancer.,1,,,
"Also, and this should come with a spoiler alert, low power radio frequencies at 4.8Ghz don't cause any excess in the incidence of cancer as has been proved in many studies over the last twenty years.",1,,,
RT @yerrfatha: every time you talk about signs bruh i feel like im a fake scorpio cause i don’t ever relate. https://t.co/2HTXOqGCFw,1,,,
‘Prescribed drugs are the third most common cause of death after heart disease &amp; cancer’ Two forward thinking Doctors discuss nutrition and lifestyle medicine hopefully there’ll be many more like this https://t.co/XhmsoyBCmU via @drchatterjeeuk #lifestylemedicine,1,,,
"@totallyNOTtrio Had to put my old dog down cause of Cancer about 5 years ago, the one we have now is reaching 12 and same situation. She used to run and jump on the bed but now it's a whole process for her to get on and off. Pic from the winter https://t.co/BYedgHLNkD",1,,,
"do you ever tell your boyfriend how you've wanted him to do a certain thing for you and then he says he'll do it but you realise you don't even want it anymore cause you wanted him to just want to do it ,not for you to ask him to do it ,ye feel me",1,,,
I think this is the first time I’ve ever posted and asking for donations. Kick for a cure is a great cause and this weekend we’re playing soccer in a charity tournament to raise money for Cancer.   Every dollar helps   Thank... https://t.co/uBh0MPGiew,1,,,
"@DrJenGunter As a thyroid cancer survivor of 16 and 1/2 years I could barely read that piece of hooey Anthony William wrote. If there was a definitive cause for cancer there would have been a cure years ago. So, where did his Spirit go to med school? Yale/Ghoul Haven ?",1,,,
@kumabearkuso @danabrams It was over 4 hrs long....so much for oh it will take just an hour 🤣. It's been difficult cause I am in a soft diet and having difficulty breathing.  Had an amazing doctor.  He truly did such a great job and he said he got all the cancer out!!! Still need  more treatment,1,,,
"Just got shaved!!!! Still only the bottom half but hopefully I’ll have the same courage these men, women, and children have to shave for such a great cause. Childhood cancer only gets 4% of cancer research funding, yet it is the leading cause of childhood deaths. Donate. Support.",1,,,
"@destnasty Okay that shit looks cute af, and who tf wears bras anymore??? They’re uncomfortable and cause bruises, cyst and sometimes cancer Maybe if she stopped wearing an uncomfortable bra she wouldn’t be such a twat 🤷🏻‍♀️",1,,,
"@PixelGirPlays Sending love and light! today I gave my Mom the 3rd of her Lovanox shots as she needs the anticoag. cause of the clots from the estrogen inhibitor they gave her to slow the cancer. It gave her a Fu Man Chu, oh and a pulmonary embolism.  She goes in for a biop of the new mass Fri https://t.co/44Isz9AwSj",1,,,
The leading causes of death in the United States:  Abortion  Heart Disease  Cancer Respiratory Disease  Car Accidents Stroke Alzheimer’s  Diabetes Influenza and Pneumonia Kidney Disease   ...Notice that guns are not on that list  🤔 I've always thought #1 cause of death was birth  #1 cause of All plane crashes is Gravity  # cause of divorce is Marriage 😀 https://t.co/8HGqve3KOR,1,,,
"Cancer is the third cause of death in Kenya after Malaria and Pneumonia. However, the country has 4 radiation centres of which 3 out of the four are privately owned. https://t.co/tQj8kWuEI3",1,,,
"Reflux is a Character in the new Incredibles 2 movie opening today.  Just like in Real Life, he is Ugly and Dangerous. But, unlike the Real #Reflux, he doesn't cause Cancer. #ECAN, #EsophagealCancer, #DeadlyCancer  https://t.co/qmqmvJGfip",1,,,
@actuallyerin Try painting it with clear nail polish and letting it completely dry.  I used to have to do that with belt buckles cause I’d break out in hives.  I do that right away with every Fitbit band and medic alert silicon band.  I can’t even wear the cancer bracelets unless I do that.,1,,,
"Nuclear energy may be exposed to high levels of radiation, which can cause cancer and other ailments.  #WorldWar3Movie https://t.co/AoPD9lxNM9",1,,,
"10 things you need to know about Lynch syndrome: Lynch Syndrome, also known as Hereditary Nonpolyposis Colorectal Cancer (HNCC) 1. Most common hereditary cause of colon cancer and is believed to account for 3-5% of all colorectal cancers.  Continues .. https://t.co/sn46OmkKFT",1,,,
"@DocBastard @QuantumFracture I have never seen so much intelligenge, logic and true in one image. No shit there must be one with a shirt on puts. This image cause cancer.",1,,,
@sweetbabyjosi is the next and last person ima draw cause she’s an Aquarius and apparently they’re the supreme sign. *Laughs in cancer* lmaooo yea right,1,,,
A great cause supporting firefighter and their families battling cancer. Please attend it you can. 100% of the proceeds go to the foundation. https://t.co/dGYRsSenGT,1,,,
"@Bec_Shrader @TruthNGrace @drmoore Sorry. Abortion DOES cause problems with subsequent pregnancy. It has been shown to significantly increase the risk for breast cancer and mental health/substance abuse problems. And the fetal development facts you deny are, in fact, true. (Another medical professional.)",1,,,
"So sick of this fucking rhetoric.   We pay our taxes, teach your undergrads, fix your boilers, care for your sick, pick your produce, etc and we are damn good at it.   I believe the words you’re looking for are ‘thank you’. https://t.co/HNUoMhtOai Also, we're basically certain WiFi can't cause cancer but if it could we honestly aren't able to conduct a proper study at this time. It's all too new. So stop trying to scare and anger people to sell your piece of shit paper. https://t.co/s5mgZS3s6I",1,,,
@bognewsuk @cath1957 @carolecadwalla @afneil @Arron_banks @guardian @thesundaytimes @washingtonpost @CNN @nytimes Yes. Smoking is not the only cause. But it is a cause. That in no way suggests that smoking does not cause it. There is definitely a causal link between smoking and lung cancer. Science has proven that. Surely you're not questioning that?,1,,,
"@Cynwel73 Remove all fastfood and junkfood vendors from hospitals by giving then federal funding if they complied in 100% across the province.  Lower cancer, HA rates, lower T2D rates... But THEY wont do it cause the encomony would have to collapse as it currently is and a LOT of canola",1,,,
"@aiden__fullam really? cause you're clearly not reading my previous tweet. she's had around 20 songs about exes and in every one she either apologizes, blames herself, or just stays neutral. taylor has songs supporting the lgbt community, songs about love, songs about ages, songs helping cancer",1,,,
"@NuffieldTrust @markgdayan Cause of death ""#cancer"", but no mention of the pillar to post catalogue of failings that mean some patients  suffer unduly and die of treatable complications. #PatientSafety #NHS",1,,,
"One of the most successful aspects of this cause marketing has been the Yopliat lids for a cause, where the SGK logo is seen right on lid and on the carton of yogurt. Not only is the consumer seeing that this brand supports breast cancer...",1,,,
@Yxmikxni But isn’t that what your initial tweet implied??? Lmaoooo I swear we are as prone to skin problems if we don’t wear sunscreen ?? In that case skin cancer ought to be the number one cause of death in Africa. And I’m talking sub Saharan Africa not holiday destination Africa,1,,,
@BradFry8 @ScottPaterno God does not cause cancer. People have created the dis-ease.  God does not create the imperfect. People have free will and everything that happens in life is “cause &amp; effect.” Karma laws are real and everything is a lesson. Whether or not we choose to learn the lessons is on us,1,,,
"@EleriTMLH @nimarmz @jresgu @N8VChey Society should also exclude u if u smoke because that has been proven to cause cancer in others. And if u text in your car, u should lose your licence so as not to kill others. And do u have YOUR vaccine records? Bc u need all 40 vaccines that every 6 year old is required to have",1,,,
I feel so bad for my friend cause shes always texting me that shes so sad she hasn't seen me since my cancer came back and we had our lunch date on my birthday back in april,1,,,
"even if vaccines did cause autism i would still vax my child. like yeah we can talk abt how it’s infactual that vaccines cause autism, but let’s also talk about how deep the hatred for autistic people goes that people would rather have a dead or sick child than an autistic one. VACCINES CAN HELP YOUR KIDDOS FIGHT OF SO MANY DISEASES!! TAKE YOUR KIDS TO THEIR WELL CHILD CHECKS! NOT TO MENTION THE HPV AND HEP B VACCINES CAN HELP PREVENT CANCER !!! https://t.co/iFyoT6G451",1,,,
@AntXO713 It’s very comparable. Kd carried okc for 8 yrs and was being held back by Westbrook. No one wanted boogie he’s a cancer to every team he’s been on he knows he has to change and learn. Don’t hate. It sucjs cause the nba season is already over. But lessept started this shit.,1,,,
"Not ""mysterious"" at all. Microwave radiation emitted from wireless devices is KNOWN to have bioeffects, make people sick and cause cancer. It affects people's neurological, cardiac, and immune functioning. People refuse to hear the truth. Very sad. https://t.co/6rrcFzTaTX",1,,,
"Honestly, that a pure smile that could cure cancer and cause diabetes https://t.co/tJUJrMCsr2",1,,,
"@spiritualS0UL Nuclear energy may be exposed to high levels of radiation, which can cause cancer and other ailments.  #WorldWar3Movie https://t.co/HM1XcccqAx",1,,,
"@Wzbify @TheCIutchPlayz Wzbify you acting thug on social media  when you’re probably a pussy irl lmfao honestly you be talking smack and it’s funny cause you have to be racist to “roast”, you’re just another dumb ass in the internet, nothing new. Hopefully you mature and stop making the internet cancer",1,,,
Obesity is the UK’s biggest cause of cancer after smoking. But how can extra body fat cause cancer? Our video explains… https://t.co/Gw5h011aXC Obesity and cancer in a nut shell @CR_UK - this is fab! The government need to support your work to make the UK less obesogenic. https://t.co/su3kHVjJZJ,1,,,
"@Cassius_Deo @kenjaques @NightShiftMD @terromur Do you claim HPV is not the cause of &gt; 90% of cervical cancer? If we prevent the cause, that should prevent the cancer, no? And indeed, https://t.co/QA8aK60psF observed lower cancer post vaccine. See also https://t.co/G8QT9MzZzU",1,,,
psa: you can still get a tan if you have sunscreen on!!! sunscreen protects you from the harmful uv rays that can cause skin cancer and early aging!! butter yourself up like popcorn this summer!!,1,,,
Cells lacking p53 that develop harmful mutations can cause cancer. And that is the premise of the two studies quoted in this @statnews article.,1,,,
This common chemical used in mouthwash and cosmetics can cause colon cancer - Hindustan Times https://t.co/XP6eBu1Sek,1,,,
"@theafropean there are a lot of bad chemicals in food here also that can cause thyroid issues, other hormonal issues, and cancer",1,,,
With donations we help lung cancer patients and their families face the battle &amp; someday conquer it. Please help Cory’s cause https://t.co/wJCLgEQ0KM https://t.co/b2GPW4QFRh,1,,,
"About 14 percent of U.S adults were smokers last year, down from about 16 percent the year before. The decline has coincided with a greater understanding that smoking is a cause of cancer, heart disease and other health problems.  https://t.co/mSBtfYPxGQ",1,,,
"@LobTelStudios @joerogan Re: ""it’s fun to hear what evidence that guy has in order to try and prove why smoking doesn’t cause cancer.""  No. For example, it's not fun when little kids start smoking, because they believe the lies that guy told them. And your source Singer told those sorts of lies.",1,,,
THIS FRIDAY - If you like these folks on air you’ll love them here. See you Friday at 9:30 pm and your $20 goes to a wonderful cause - Ride For Cancer. If you’re around Halifax - this is definitely a MUST SEE.@CTVAtlantic @CTVMorningAtl @CTV_Liveat5 @rideforcancer_  #nobrakes https://t.co/4sdMsY8s5X,1,,,
"I really hope Fireworks and bottle rockets and others fire crackers cause cancer. My cats are terrified and the dog next door is out of his mind scared. Way to go, assholes.",1,,,
"Save the date! Sat. June 30th, Swanton, OH: 1st Annual Craft and Vendor Show For a Cause supporting The Salgi Esophageal Cancer Research Foundation  https://t.co/EvmeKmxKDA #EsophagealCancer #EsophagealCancerAwareness #AllPeriwinkleEverything™ #Ohio #OH",1,,,
"@Chris_Hubris @SJRoadW @transscribe Yep! I don't want kids, I'm no good w/ them, I'm asexual so they're not accidentally happening, I'm on seizure meds that could cause birth defects, and pregnancy hormones could trigger liver cancer, but doctors STILL say ""what if you want kids?"" (I prefer not having cancer, thnx)",1,,,
#LungCancer is the leading cause of cancer death in the U.S.  CT scanners improve the likelihood of detection of malignant disease and require less than 20 seconds of scanning time. Schedule an appointment with our imaging center today. https://t.co/uk5K1Lo6uO https://t.co/ZHoCB189lN,1,,,
"Eliprax™ lessens intestinal distress. Has been know to cause inflamed hepatitis, elevated death, and swollen cancer.",1,,,
TALK ABOUT “FEELS EMOTIONS BUT CANT COMMUNICATE”  AND THATS WHY I AM HERE ALL FUCKED UP CAUSE YOU COULDNT FUCKING COMMUNICATE https://t.co/NImp8q8Prv CANCER MEN  Worst: •indecisive and don’t actually know what they want  •never stop bragging  •only know how to talk about themselves  •feels emotions intensely but can’t communicate them •needs to be reassured 67 times a day https://t.co/axYRwTrE4J,1,,,
"Im a true cancer !!! I am loyal, loving, caring , faithful, moody, trustworthy, passionate about everything, but will snap if you don’t appreciate any of it.. oh and hate liars and love making money!!! Cause we love spending it !",1,,,
cause she a Cancer and Taurus love cancers and vice versa lol https://t.co/JrkczQodRO,1,,,
"Don't forget, Relay For Life is tonight in Jackson Park! Come out and support this great cause with some members of the Pardee cancer team. https://t.co/yI6wk5hagL",1,,,
Crying yourself to sleep is cool and all but have u ever cried so hard that you puked on yourself? Cause u will!! Happy cancer season!!!!!,1,,,
it's just a mouthful of sunshine is just a polite way of saying that your cake is unbearably hot and prolonged exposure to it could cause cancer #MasterChefAU,1,,,
Wake up and stop using antiperspirant deodorants guys.. they can cause breast cancer,1,,,
"#New_York_Times Calls for #Godfather_Tactics to Stop Trump’s #SCOTUS_Nominee.  Leftist media is becoming UNHINGED with #TRUMP_DERANGEMENT_SYNDROME.  This is a SERIOUS level of #journalistic_irresponsibility. https://t.co/YC9nLghNSm FATHER, THE NYTIMES IS CALLING FOR VIOLENCE TOWARDS TRUMP!  I'M CALLING FOR THE DEATH OF THE NYT FATHER, PLEASE IN JESUS' NAME CLOSE THEIR DOORS FOREVER.  TURN THEIR WORDS INWARDS AND CAUSE THE CANCER TO SPREAD WITHIN THEIR WALLS FED BY HATRED  CANKER, LORD, THEIR FUNDING &amp; $$$$$ https://t.co/S5B3b2NTVe",1,,,
"@Chr1stinaG @SgtKOnyx @chadfelixg OMG.  ""Even if a substance or exposure is known or suspected to cause cancer, this does not necessarily mean that it can or should be avoided at all costs. For example, estrogen is a known carcinogen that occurs naturally in the body."" https://t.co/wZourw1eR2",1,,,
@BullyEsq In a space filled with folks who think the earth is flat; moon landings are fake; crystals cure cancer; vaccines cause autism; and gluten is AIDS - you're always a reliable voice that CT isn't full of kooks donning aluminum foil hats,1,,,
"We're proud to be taking part in Pedal the Cause this September. Please support our team and help us fight cancer and promote cancer research in #STL. If you'd like to join our team, contact our team captain via her profile page below. https://t.co/2dClb3lMSU",1,,,
"A Canadian flag signed by everyone from The Hip to Bryan Adams,  Blue Rodeo, Collective Soul the list goes on. It's being auctioned off for the Gord Downie Fund for Brain Cancer Research. Check it out...  https://t.co/cUPcy6SiHh It's times like this that I wish I had money to burn. Great cause and even cooler memorabilia!! Thanks for sharing @joannewilder ❤❤ https://t.co/Aey8aQi3MH",1,,,
@WSJ No. It still is an addiction to nicotine. Which can cause many things. But the Vap is a delivery system that does help some ppl quit cigarettes which kills not by nicotine but by the tar and smoke that causes the cancer in the lungs.Vap is water vapor just a med ( nicotine )added,1,,,
"#Heart failure is the cause of 11 million #physician visits every year, and causes more hospitalizations than #cancer. Don't wait until the symptoms are already there. Be proactive with your heart #health with TruSense. Learn how here: https://t.co/fU5M8sMYSH https://t.co/scvVYlmALT",1,,,
@LilyDislaMusic It’s funny cause I just went on a work trip w a Pisces moon woman and we had the best heart-to-heart. But she’s also a Leo sun/Mercury/Mars and that was tough for me lol. She talked A LOT and loudly. My Scorpio Mercury/Cancer Mars self was overwhelmed lol.,1,,,
"Screaming from the top of their lungs: Researchers who specialize in emectrlmagnetic fields are warning us that this exposure is extremely dangerous. Has short term health effects and long term ones like DNA damage, cancer, immune and neurological problems. https://t.co/9FPP1b0HJK A professor of toxicology (at McGill University in Canada) explains how EMFs (electromagnetic fields) cause biological damage and even cancer https://t.co/XJYLvQkyS8",1,,,
"Why screen starting at age 45? Colorectal is now the most commonly diagnosed cancer, and leading cause of cancer death in men younger than 50 #SECRC2018",1,,,
@umbyrella @conor64 Hormones aren't candies. Even same sex hormones for post menopause women can cause cancer and health issues. This modern-day obsession with body modifications totally denies the complexity and integrity of the organism as a whole. An injury to any part is an injury to the system.,1,,,
A reminder that we've got our Macmillan Cancer Research fundraiser tomorrow night at Mill Lane - the Backbeat Drivers are live with a BBQ on and the bar open all night. Come along and support this amazing cause #hitcancerforsix,1,,,
"@Jdiluci2 @NBCNews Whatever you want to call it.  We are not baby calves, and do not need to consume bovine growth hormones in our daily lives - it contains casein - proven to cause cancer.",1,,,
"@fred_guttenberg @kristenschaaled Your daughters death was so senseless. And the gun lobby will not even allow research into the phenomenon,  to see if there are possible answers. Guns are the 3rd leading cause of death in the US among children, behind cancer and auto accidents. Imagine if a group pushed...",1,,,
"“We were just looking for a fun way to get involved in biking and Brian found this really good cause online,” Alita Crosby said. Find out how an Aberdeen family used bikes to battle cancer. https://t.co/BvPQsjJ9QK https://t.co/SbjfOF12rp",1,,,
"*Prop 65 Warning: Detectable amounts of chemicals known to the state of California to cause cancer, birth defects or other reproductive harm may he found in and around this facility* https://t.co/DOxNZHDZg9",1,,,
"According to the “journal of American medical association”, medical treatment is the third leading cause of death after heart disease and cancer in the United States.",1,,,
RT @johnssav1019: @12D_ASCENSION i told my friends meat and dairy can cause cancer and they laughed and said no the sun does 🤷‍♀️ okay,1,,,
"Boom 💥💥☄️💥💥 wondered why rapid cancer illnesses, disorders, new diseases, Autism, Depression and much more and don’t matter the age. advanced people should have healthier people than those before them. What must be the cause of this bad health #HUMMMMMM https://t.co/UoQ7ofjPpR Everything in our lives is poisoning us, the Air, the Water, the Food. Please seek out the information about what to do, who's doing this and why.   Death of the Farm  Bio Tech Food Farmaceuticals PART 1  https://t.co/u8DscwwPyP via @YouTube",1,,,
"@Duraduni351 @purohit_shilpa @AmitShah @BJP4India @BJP4Odisha Nuclear energy may be exposed to high levels of radiation, which can cause cancer and other ailments.  #WorldWar3Movie https://t.co/SrldE7Ww12",1,,,
What is overdiagnosis? This refers to the detection of cancers that would never cause harm: https://t.co/tEJ7I54a1z https://t.co/ywjtjtMai8,1,,,
Celebrating a good cause and those who volunteer for it. 😄  . . . #WorldBloodDonorDay #BloodDonation #Donateblood #blood #donate #life #save #savelives #share #bloodgroup #help #healthy #happy #heart #cancer #bloodcells #joy #instadaily #awareness  #instaquote #human #oliveboard https://t.co/2ealz9NZaj,1,,,
@GameAttackTeam just watched this past weeks Tryhard and have to say its in my top 10 of all time. @CraigSkitz your not crazy I also don't like the ominous sticker on my microwave that says it may cause cancer. I loved the video of the pink kid justice @ShaunBolen,1,,,
"@yellowpistols Also Heart Disease and Cancer are the leading cause of death for all races. Car Accidents being third. :c This topic makes me sad, not trying to be little your tweet, it just got me interested in the topic.",1,,,
"@louisvpjm @versegray true, but honestly i would've just ignored it if it was about something else. literally cancer is a way bigger deal than kpop passing out. and i'm not tryna say that it was a hilarious joke cause honestly i didn't laugh cause i was confused. https://t.co/i7PawwdzFJ",1,,,
"From Blog https://t.co/mRLw4kzIxB : Did you know that Alzheimers disease, cancer, and heart disease are the leading cause of deaths in US? https://t.co/Jmgy8FVPFN #Alzheimers #diet #heath Alzheimers affects more than 35 million people globally and by 2050 Alzheimers could… https://t.co/PbTolVXcvh",1,,,
"@_rU_Experienced What the fuck is wrong with you. cigarettes cause cancer, strokes, heart and lung disease, literally the ability to not speak, you know the rest. This has happened to EVERY SINGLE SMOKER IN MY FAMILY. In NO WAY is this a positive tweet. #QuitSmokingCigarettes2018 or at least try.",1,,,
"Wants to sue a little girl because he can't ""verify"" the water.  Yet doesn't worry about suing companies that bottle flouridated water which lowers IQ, in thin plastic bottles leeching estrogenic compounds which lower testosterone, imbalance hormones &amp; cause cancer.  #PermitPatty https://t.co/BE6Tipb2KJ",1,,,
"Whether it be in movies, books, conversion, or any other medium, Mercury in Cacer/Scorpio/Pisces are sure to pick up on all the subtle nuances.  This is why lying to them is so hard - they’ll sense anything inauthentic and underlying in your words. Be careful what you say to them i always tell ppl just go ahead and tell me the truth cause as soon as you think of the lie i know it, my mercury is in cancer btw https://t.co/J2ZCbUNYnZ",1,,,
"Many people turn to home remedies to treat their cancer, colds, and autoimmune disorders, but some of these can cause more harm than good. Learn here how home remedies might backfire on your health as well. #healthwarning #braingystics  https://t.co/4MKLJ0iUJz https://t.co/pRACdjsl9B",1,,,
"HAPPY BIRTHDAY MY GAY LIGHT SKIN HOE. YOU GOT THE BIGGEST DICK ENERGY IVE SEEN AND I LOVE YOU SO MUCH I HOPE YOU HAVE AN AMAZING BIRTHDAY ( it will me cause ur gonna spend it with me) AND I HOPE THE REST OF CANCER SZN TREATS YOU WELL MY LOVE, ENJOY https://t.co/RqbCvwJ1Yd",1,,,
this is making me sad cause every time u get burnt u increase ur chances of skin cancer :( take care of your skin!!!!!! https://t.co/0J0fDS13Ha Are you the type of person who    A: HAS to wear sun screen   OR  B: Just says fuck it and doesn’t   Retweet for A  Like for B   Trying to prove a point here,1,,,
"So uh, someone followed me, I did my usual check of the account to make sure it wasn't a bot and found out she took the piss out of someone cause their cousin has or had cancer.... I've lost friends to that shit and I know I'm not the only one. This person is scum.",1,,,
"@PressSec In Quora: No respect for facts. The fact that wikipedia does not accept it as a reliable source Xenophobia, sexism, homophobia, climate change denial, and islamophobia Obsession with things that cause (or cure) cancer. Historical support for the British Facist Party and the Nazis",1,,,
"Bactnil™ improves benign liver damage. Has been know to cause traumatic phasing, spastic teleportation, and cancer.",1,,,
RT @MikaCaringal1D: @Harry_Styles Harry Don't pluck the hair on your mole It can cause a cancer! i love you and i don't want to see you suf…,1,,,
"Deleted Tinder account cause handling fuckbois will give me cancer.   27 and above ladies, you should be dating a man. Men who will engage an arguement or conversation and make fun of Rosmah over a beer.   I learnt that the hard way.",1,,,
"Chemicals in nonstick pans enter drinking water and can cause cancer, reports the report. https://t.co/4yGsnUCpf6 https://t.co/oEQgmr8J6V",1,,,
Does or could material leaking out of ruptured disc &amp; spine from stenosis and pressure on the thecal sac cause cancer? None of the neurologist or neurosurgeons seem to what to answer that question? #breakingspine,1,,,
All of us here at SouthEast Executive would like to wish Tom good luck and all the best for his walk tomorrow for prostate cancer at The London March for Men at Queen Elizabeth Olympic Park. Its still not too late to sponser him at just-giving/Tom Mcnally It's  a very good cause,1,,,
"No shots and no sex with anyone amab cause I literally cannot take the risk of cervical cancer as a trans dude in a province of privatization letting doctors say they ""don't understand"" my needs enough to treat me. #ableg #abtans",1,,,
"The world is such a fucked up place, people dying cause of cancer and hunger around the world and y’all still find the need to go around shooting people. Some of this world is so lame I swear",1,,,
Thanks bro and that's VERY dope to hear cause my grandfather is 89! I'm believeing will be celebrating his 100th too! https://t.co/vikp0KX1Uz,1,,,
fibroid surgery cancer – uterine fibroids and hip pain.fibroid treatment dallas fibroid and bleeding options symptomatic fibroids icd 9 17216.alternative treatment for fibroids shrink fibroids naturally – do fibroid tumors cause hormonal imbalance.prolap… https://t.co/YPsAlAoNWD https://t.co/yusTI7u3ge,1,,,
"Did you know that bras may cause breast cancer? For this week's interview, I sat down with researchers Sydney Singer and Soma Grismaijer about their groundbreaking breast cancer study. https://t.co/9w4UhcPqGp",1,,,
"This exact same scenario happened to me @BtThePeruvian and @THAT_DopeGuy2 before. White dude brought the cops cause we were swimming at the pool next door to my house... had to walk back to my house and say duh officer we fucking live where we said we live https://t.co/WWChbxqRjE This is Adam.   He harassed black woman Jasmine Edwards and her child calling the police on them seeking a ID for her entering her own pool. Even after police show her key card works, he says “THEY kinda make they way around sometimes” #whileblack    Racism is a cancer. https://t.co/IgmA7NfFsi",1,,,
RT @ktlynveglife: Now all the 80 year olds I work with are talking about how cell phones cause cancer while eating from a meat and cheese p…,1,,,
"Honestly, cancers showing you love is a cooked meal or sharing a recipe or like smothering you in hugs and kisses cause we don’t know what 2 do with ourselves!! Get you yours!!!!",1,,,
"gym class and started tearing up. Somebody called me out. Another person asked me what was wrong. I was in physical pain, not emotional pain. (I forgot to say but I would scratch until the point where I would bleed, which is how I could cause cancer.) I simply pulled up my sleeve",1,,,
"@erikmoldwarrior @jenbrea @MBVanElzakker @beaterast @tiggerbumble @CaroleBruce17 @MEencyclopedia ...cancer too. It's well known that both lead and asbestos cause cancer. In the UK anyway.   But. That is NOT ME. And there should be no connections to ME made either.   Well that's cleared that one up. (Note to self, don't get involved next time haha)",1,,,
"Im crying cause i found one picture of my grandma and i miss her so much, its a pain i have to live with every single day, fuck cancer  But im still cute af dear lord https://t.co/0FA1VBrJjR",1,,,
@vegemelon @amandaasette @paranormalkell And I didn’t fucking ask for your “help”. Nobody did. That’s the fucking point. Doesn’t matter if you try to come off as polite- it’s condescending and rude as fuck. Context matters. Harassing people for their diets with “but it could cause cancer” is NOT AN EXCUSE.,1,,,
